TotalPremium,PolicyAge,PremiumPerClaim,IsHighRiskProvince,Province_encoded,Gender_encoded,VehicleType_encoded,make_encoded
74.561403508771,0.4958904109589041,0.02428571420661195,0,2,2,4,24
15.78947368421,1.252054794520548,0.005318639686793261,0,2,0,4,24
21.929824561403,0.16712328767123288,0.011116051522132693,0,2,2,4,24
536.43649122807,0.7479452054794521,0.00990861304290339,0,2,2,4,24
643.723771929825,0.6657534246575343,0.3726993883957479,0,2,1,4,24
15.78947368421,0.6657534246575343,0.014999999857499481,0,2,2,3,16
377.550614035088,0.4958904109589041,0.02345608682371356,0,2,2,4,24
21.929824561403,0.25205479452054796,0.01663959945841967,0,2,2,3,16
74.561403508771,1.3342465753424657,0.012142857123081486,0,6,2,4,24
440.475701754386,0.4191780821917808,0.017872268704106537,0,4,2,4,24
21.929824561403,0.16712328767123288,0.01686909568670157,0,2,2,4,24
74.561403508771,0.33424657534246577,0.018888888841036806,0,5,2,4,24
21.929824561403,0.16712328767123288,0.029205607087681662,0,5,2,4,24
492.860877192982,0.4191780821917808,0.0039026554324577477,0,4,2,4,24
399.630614035088,0.25205479452054796,0.014727867729866962,0,6,2,4,24
